distance
1.1
1.1
1.1
0.4
1.9
4.5
1.3
4.5
0.6
0.6
0.6
0.4
0.1
1.0
1.4
18.0
1.1
1.1
1.1
1.2
0.4
0.4
0.4
0.4
0.4
1.1
1.1
1.1
1.1
1.1
1.1
1.1
1.1
0.5
0.5
0.5
0.5
1.1
1.1
1.1
1.1
1.1
1.1
1.1
1.1
1.1
4.4
2.0
2.0
1.0
0.6
0.2
0.2
0.2
2.1
0.3
0.3
0.3
0.3
0.3
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
1.5
1.5
1.5
1.5
0.8
0.8
0.8
0.8
0.8
0.8
1.1
1.1
1.4
0.6
0.6
1.6
1.6
1.6
1.0
1.0
12.3
2.7
2.7
2.7
2.7
2.7
2.0
1.9
0.7
0.7
0.7
0.4
0.4
0.4
0.6
0.6
0.2
0.2
0.2
14.6
14.6
14.6
14.6
14.6
14.6
25.0
25.0
0.7
0.7
0.8
1.6
1.6
1.6
1.6
1.6
1.6
1.6
1.6
0.8
0.8
0.8
0.8
0.8
0.8
0.8
2.1
3.1
